country,product,date,gross_production_value
Albania,Apples,2015,38075
Albania,Apples,2016,42140
Albania,Apples,2017,39984
Albania,Apples,2018,44980
Albania,Apricots,2015,3762
Albania,Apricots,2016,3873
Albania,Apricots,2017,3758
Albania,Apricots,2018,3832
Albania,Barley,2015,2549
Albania,Barley,2016,3277
Albania,Barley,2017,3290
Albania,Barley,2018,3516
Albania,"Beans, dry",2015,50959
Albania,"Beans, dry",2016,45244
Albania,"Beans, dry",2017,38583
Albania,"Beans, dry",2018,44666
Albania,"Broad beans and horse beans, dry",2015,194
Albania,"Broad beans and horse beans, dry",2016,194
Albania,"Broad beans and horse beans, dry",2017,194
Albania,"Broad beans and horse beans, dry",2018,194
Albania,"Broad beans and horse beans, green",2015,77
Albania,"Broad beans and horse beans, green",2016,113
Albania,"Broad beans and horse beans, green",2017,111
Albania,"Broad beans and horse beans, green",2018,97
Albania,Cabbages,2015,9449
Albania,Cabbages,2016,13873
Albania,Cabbages,2017,12880
Albania,Cabbages,2018,12943
Albania,Cantaloupes and other melons,2015,18186
Albania,Cantaloupes and other melons,2016,16855
Albania,Cantaloupes and other melons,2017,17328
Albania,Cantaloupes and other melons,2018,16578
Albania,Carrots and turnips,2015,2793
Albania,Carrots and turnips,2016,6046
Albania,Carrots and turnips,2017,4873
Albania,Carrots and turnips,2018,4165
Albania,Cauliflowers and broccoli,2015,3698
Albania,Cauliflowers and broccoli,2016,4737
Albania,Cauliflowers and broccoli,2017,4257
Albania,Cauliflowers and broccoli,2018,3738
Albania,Cherries,2015,21993
Albania,Cherries,2016,21026
Albania,Cherries,2017,20925
Albania,Cherries,2018,20970
Albania,"Chestnuts, in shell",2015,8937
Albania,"Chestnuts, in shell",2016,8179
Albania,"Chestnuts, in shell",2017,8431
Albania,"Chestnuts, in shell",2018,7098
Albania,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2015,22647
Albania,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2016,23010
