country,product,date,gross_production_value
Albania,Apples,2022,43017
Albania,Apples,2023,40373
Albania,Apples,2024,41693
Albania,Apricots,2022,4101
Albania,Apricots,2023,4159
Albania,Apricots,2024,4428
Albania,Barley,2022,6924
Albania,Barley,2023,7712
Albania,Barley,2024,8664
Albania,"Beans, dry",2022,39621
Albania,"Beans, dry",2023,42418
Albania,"Beans, dry",2024,44351
Albania,"Broad beans and horse beans, dry",2022,194
Albania,"Broad beans and horse beans, dry",2023,194
Albania,"Broad beans and horse beans, dry",2024,194
Albania,"Broad beans and horse beans, green",2022,105
Albania,"Broad beans and horse beans, green",2023,104
Albania,"Broad beans and horse beans, green",2024,104
Albania,Cabbages,2022,16331
Albania,Cabbages,2023,16823
Albania,Cabbages,2024,16827
Albania,Cantaloupes and other melons,2022,22396
Albania,Cantaloupes and other melons,2023,20666
Albania,Cantaloupes and other melons,2024,27281
Albania,Carrots and turnips,2022,3882
Albania,Carrots and turnips,2023,6561
Albania,Carrots and turnips,2024,7578
Albania,Cauliflowers and broccoli,2022,6172
Albania,Cauliflowers and broccoli,2023,5929
Albania,Cauliflowers and broccoli,2024,6790
Albania,Cherries,2022,26588
Albania,Cherries,2023,21500
Albania,Cherries,2024,24524
Albania,"Chestnuts, in shell",2022,8155
Albania,"Chestnuts, in shell",2023,8590
Albania,"Chestnuts, in shell",2024,7754
Albania,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2022,29064
Albania,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2023,31450
Albania,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2024,34675
Albania,Cucumbers and gherkins,2022,71016
Albania,Cucumbers and gherkins,2023,70441
Albania,Cucumbers and gherkins,2024,72399
Albania,Dates,2022,4950
Albania,Dates,2023,4966
Albania,Dates,2024,5087
Albania,Eggplants (aubergines),2022,18673
Albania,Eggplants (aubergines),2023,18308
Albania,Eggplants (aubergines),2024,20308
Albania,Figs,2022,16420
Albania,Figs,2023,16341
Albania,Figs,2024,15809
Albania,Grapes,2022,143220
Albania,Grapes,2023,118125
Albania,Grapes,2024,120568
Albania,Green garlic,2022,28779
Albania,Green garlic,2023,25106
Albania,Green garlic,2024,27326
Albania,"Hen eggs in shell, fresh",2022,149231
Albania,"Hen eggs in shell, fresh",2023,129831
Albania,"Hen eggs in shell, fresh",2024,143603
Albania,Hop cones,2022,17061
Albania,Hop cones,2023,17207
Albania,Hop cones,2024,17066
Albania,Leeks and other alliaceous vegetables,2022,10590
Albania,Leeks and other alliaceous vegetables,2023,12548
Albania,Leeks and other alliaceous vegetables,2024,12826
Albania,Lemons and limes,2022,3854
Albania,Lemons and limes,2023,4025
Albania,Lemons and limes,2024,4269
Albania,Lettuce and chicory,2022,19870
Albania,Lettuce and chicory,2023,13595
Albania,Lettuce and chicory,2024,12805
Albania,Maize (corn),2022,125496
Albania,Maize (corn),2023,127902
Albania,Maize (corn),2024,128315
Albania,"Meat of cattle with the bone, fresh or chilled (indigenous)",2022,150030
Albania,"Meat of cattle with the bone, fresh or chilled (indigenous)",2023,155656
Albania,"Meat of cattle with the bone, fresh or chilled (indigenous)",2024,136344
Albania,"Meat of chickens, fresh or chilled (indigenous)",2022,12267
Albania,"Meat of chickens, fresh or chilled (indigenous)",2023,18242
Albania,"Meat of chickens, fresh or chilled (indigenous)",2024,4243
Albania,"Meat of goat, fresh or chilled (indigenous)",2022,32213
Albania,"Meat of goat, fresh or chilled (indigenous)",2023,31315
Albania,"Meat of goat, fresh or chilled (indigenous)",2024,29556
Albania,"Meat of pig with the bone, fresh or chilled (indigenous)",2022,1495
Albania,"Meat of pig with the bone, fresh or chilled (indigenous)",2023,0
Albania,"Meat of pig with the bone, fresh or chilled (indigenous)",2024,0
Albania,"Meat of sheep, fresh or chilled (indigenous)",2022,74992
Albania,"Meat of sheep, fresh or chilled (indigenous)",2023,67664
Albania,"Meat of sheep, fresh or chilled (indigenous)",2024,64725
Albania,"Meat of turkeys, fresh or chilled (indigenous)",2022,49
Albania,"Meat of turkeys, fresh or chilled (indigenous)",2023,6325
Albania,"Meat of turkeys, fresh or chilled (indigenous)",2024,6122
Albania,Mushrooms and truffles,2022,371
Albania,Mushrooms and truffles,2023,371
Albania,Mushrooms and truffles,2024,371
Albania,Natural honey,2022,61966
Albania,Natural honey,2023,64756
Albania,Natural honey,2024,68283
Albania,Oats,2022,11617
Albania,Oats,2023,11708
Albania,Oats,2024,10867
Albania,Okra,2022,3712
Albania,Okra,2023,3725
Albania,Okra,2024,3726
Albania,Olives,2022,240903
Albania,Olives,2023,179662
Albania,Olives,2024,224125
Albania,"Onions and shallots, dry (excluding dehydrated)",2022,37086
Albania,"Onions and shallots, dry (excluding dehydrated)",2023,39877
Albania,"Onions and shallots, dry (excluding dehydrated)",2024,38932
Albania,"Onions and shallots, green",2022,26770
Albania,"Onions and shallots, green",2023,25012
Albania,"Onions and shallots, green",2024,25957
Albania,Oranges,2022,5983
Albania,Oranges,2023,6126
Albania,Oranges,2024,6433
Albania,"Other beans, green",2022,9505
Albania,"Other beans, green",2023,10576
Albania,"Other beans, green",2024,9127
Albania,"Other fruits, n.e.c.",2022,2614
Albania,"Other fruits, n.e.c.",2023,3151
Albania,"Other fruits, n.e.c.",2024,3460
Albania,"Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.",2022,37529
Albania,"Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.",2023,41019
Albania,"Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.",2024,40629
Albania,Other pulses n.e.c.,2022,926
Albania,Other pulses n.e.c.,2023,932
Albania,Other pulses n.e.c.,2024,928
Albania,"Other stimulant, spice and aromatic crops, n.e.c.",2022,547
Albania,"Other stimulant, spice and aromatic crops, n.e.c.",2023,552
