Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01341","Apples","2015","2015","7021","Annual value","USD","389","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01341","Apples","2016","2016","7021","Annual value","USD","381.3","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01341","Apples","2017","2017","7021","Annual value","USD","461.6","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01341","Apples","2018","2018","7021","Annual value","USD","435.2","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01343","Apricots","2015","2015","7021","Annual value","USD","746.3","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01343","Apricots","2016","2016","7021","Annual value","USD","732.1","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01343","Apricots","2017","2017","7021","Annual value","USD","599.1","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01343","Apricots","2018","2018","7021","Annual value","USD","777.8","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","0115","Barley","2015","2015","7021","Annual value","USD","341.4","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","0115","Barley","2016","2016","7021","Annual value","USD","319.7","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","0115","Barley","2017","2017","7021","Annual value","USD","303.6","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","0115","Barley","2018","2018","7021","Annual value","USD","302.2","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01701","Beans, dry","2015","2015","7021","Annual value","USD","1738.6","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01701","Beans, dry","2016","2016","7021","Annual value","USD","1661.7","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01701","Beans, dry","2017","2017","7021","Annual value","USD","1710.4","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01701","Beans, dry","2018","2018","7021","Annual value","USD","2078.7","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01212","Cabbages","2015","2015","7021","Annual value","USD","317.6","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01212","Cabbages","2016","2016","7021","Annual value","USD","202.1","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01212","Cabbages","2017","2017","7021","Annual value","USD","180.6","A","Official figure"
