Domain Code,Domain,Area Code (M49),Area,Year Code,Year,Item Code,Item,Months Code,Months,Element Code,Element,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","004","Afghanistan","2015","2015","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","6125","Value","","102.473425","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2015","2015","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","6125","Value","","100.599141","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2015","2015","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","6125","Value","","99.388333","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2015","2015","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","6125","Value","","99.195658","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2015","2015","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","6125","Value","","99.034873","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2015","2015","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","6125","Value","","98.768367","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2015","2015","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","6125","Value","","98.098591","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2015","2015","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","6125","Value","","98.432503","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2015","2015","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","6125","Value","","99.585059","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2015","2015","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","6125","Value","","100.28584","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2015","2015","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","6125","Value","","101.411791","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2015","2015","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","6125","Value","","102.857706","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","6125","Value","","103.618233","X","Figure from external organization","base year is 2015"
